iter	Passed	Remaining
1147	1391	184
1148	1392	183
1149	1393	181
1150	1394	180
1151	1395	179
1152	1396	178
1153	1397	176
1154	1399	175
1155	1400	174
1156	1401	173
1157	1402	172
1158	1404	170
1159	1405	169
1160	1406	168
1161	1407	167
1162	1408	165
1163	1410	164
1164	1411	163
1165	1412	162
1166	1413	161
1167	1415	159
1168	1416	158
1169	1417	157
1170	1418	156
1171	1420	155
1172	1421	153
1173	1422	152
1174	1423	151
1175	1425	150
1176	1426	149
1177	1427	147
1178	1429	146
1179	1430	145
1180	1431	144
1181	1432	143
1182	1434	141
1183	1435	140
1184	1435	139
1185	1436	138
1186	1438	136
1187	1439	135
1188	1440	134
1189	1441	133
1190	1443	132
1191	1444	130
1192	1445	129
1193	1446	128
1194	1447	127
1195	1448	125
1196	1449	124
1197	1451	123
1198	1452	122
1199	1453	121
1200	1454	119
1201	1456	118
1202	1457	117
1203	1458	116
1204	1459	115
1205	1460	113
1206	1462	112
1207	1463	111
1208	1464	110
1209	1465	108
1210	1466	107
1211	1467	106
1212	1468	105
1213	1469	104
1214	1470	102
1215	1472	101
1216	1473	100
1217	1474	99
1218	1475	98
1219	1477	96
1220	1478	95
1221	1479	94
1222	1480	93
1223	1481	92
1224	1483	90
1225	1483	89
1226	1485	88
1227	1486	87
1228	1487	85
1229	1488	84
1230	1489	83
1231	1491	82
1232	1492	81
1233	1493	79
1234	1494	78
1235	1496	77
1236	1497	76
1237	1498	75
1238	1499	73
1239	1500	72
1240	1501	71
1241	1503	70
1242	1504	68
1243	1504	67
1244	1506	66
1245	1507	65
1246	1508	64
1247	1509	62
1248	1511	61
1249	1512	60
1250	1513	59
1251	1514	58
1252	1515	56
1253	1516	55
1254	1518	54
1255	1519	53
1256	1520	52
1257	1521	50
1258	1522	49
1259	1524	48
1260	1525	47
1261	1526	45
1262	1527	44
1263	1528	43
1264	1529	42
1265	1530	41
1266	1531	39
1267	1532	38
1268	1533	37
1269	1535	36
1270	1536	35
1271	1537	33
1272	1539	32
1273	1540	31
1274	1541	30
1275	1542	29
1276	1544	27
1277	1545	26
1278	1546	25
1279	1547	24
1280	1548	22
1281	1549	21
1282	1551	20
1283	1552	19
1284	1553	18
1285	1554	16
1286	1556	15
1287	1557	14
1288	1558	13
1289	1559	12
1290	1561	10
1291	1562	9
1292	1563	8
1293	1564	7
1294	1565	6
1295	1566	4
1296	1568	3
1297	1569	2
1298	1570	1
1299	1572	0
